"X1","X2","X3"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
0,0,"Baseline (EN Max)"
1,1,"Baseline (EN Max)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
0,0,"Baseline (EN Mean)"
